cell_id,batch,cycle,max_cap,mean_cap,cycle_life
train_cell1,train,2,1.0612,0.74640457531,2160.0
train_cell1,train,3,1.0627,0.747583367424,2160.0
train_cell1,train,4,1.0635,0.7479542085201999,2160.0
train_cell1,train,5,1.0645,0.7493241831466,2160.0
train_cell1,train,6,1.0652,0.7500132069720998,2160.0
train_cell1,train,7,1.0652,0.7501737174039319,2160.0
train_cell1,train,8,1.0655,0.7503339659648,2160.0
train_cell1,train,9,1.0657,0.7501208412740001,2160.0
train_cell1,train,10,1.0659,0.7505681926882001,2160.0
train_cell1,train,11,1.0661,0.7504655204263999,2160.0
train_cell1,train,12,1.0679,0.74609044483705,2160.0
train_cell1,train,13,1.0671,0.7495996721151,2160.0
train_cell1,train,14,1.0673,0.7511816676864,2160.0
train_cell1,train,15,1.0671,0.7490218719687001,2160.0
train_cell1,train,16,1.0673,0.7494574246350001,2160.0
train_cell1,train,17,1.0677,0.7494797727456,2160.0
train_cell1,train,18,1.0676,0.7496062527590001,2160.0
train_cell1,train,19,1.0675,0.7496871904935999,2160.0
train_cell1,train,20,1.0677,0.7503226622853999,2160.0
train_cell1,train,21,1.0677,0.7509394638882001,2160.0
train_cell1,train,22,1.0676,0.7511667365976001,2160.0
train_cell1,train,23,1.0679,0.7517381760618002,2160.0
train_cell1,train,24,1.0682,0.7523011467436,2160.0
train_cell1,train,25,1.068,0.7524629173228001,2160.0
train_cell1,train,26,1.0679,0.7525248879725001,2160.0
train_cell1,train,27,1.0679,0.7518957862818001,2160.0
train_cell1,train,28,1.0676,0.751541620043,2160.0
train_cell1,train,29,1.0677,0.7512702827629,2160.0
train_cell1,train,30,1.0675,0.750667136034,2160.0
train_cell1,train,31,1.0676,0.7506577732006,2160.0
train_cell1,train,32,1.0675,0.7501906864283,2160.0
train_cell1,train,33,1.0675,0.7504053966409999,2160.0
train_cell1,train,34,1.0674,0.7506053702809999,2160.0
train_cell1,train,35,1.0675,0.7506529057889,2160.0
train_cell1,train,36,1.0675,0.7507439680424,2160.0
train_cell1,train,37,1.0674,0.7506256378839999,2160.0
train_cell1,train,38,1.0671,0.7500738464964,2160.0
train_cell1,train,39,1.0674,0.7508243460705001,2160.0
train_cell1,train,40,1.0673,0.75042673899329,2160.0
train_cell1,train,41,1.0674,0.7505591302079999,2160.0
train_cell1,train,42,1.0674,0.75089629053,2160.0
train_cell1,train,43,1.0673,0.7508170887861002,2160.0
