cell_id,batch,cycle_life,log_var_deltaQ,max_cap_cyc10,max_cap_cyc100,fade_cyc10_to_100
train_cell1,train,2160.0,-11.545755777554408,1.0659,1.0647,-0.0012000000000000899
train_cell2,train,1434.0,-10.229596145889655,1.0686,1.0664,-0.0021999999999999797
train_cell3,train,1074.0,-9.622563844838167,1.0635,1.0596,-0.0038999999999997925
train_cell4,train,870.0,-8.780779267662496,1.0823,1.075,-0.007300000000000084
train_cell5,train,788.0,-9.548532983839186,1.0386,1.0392,0.0005999999999999339
train_cell6,train,719.0,-9.25161430223913,1.0497,1.0488,-0.0009000000000001229
train_cell7,train,857.0,-9.141652225502042,1.0601,1.0563,-0.0038000000000000256
train_cell8,train,788.0,-8.335026853914043,1.0731,1.066,-0.007099999999999884
train_cell9,train,559.0,-7.714427071814592,1.0703,1.0537,-0.016599999999999948
train_cell10,train,1017.0,-9.069070363489338,1.0621,1.0579,-0.0041999999999999815
train_cell11,train,870.0,-8.738916864190053,1.0762,1.069,-0.007200000000000095
train_cell12,train,860.0,-8.85270621398561,1.0663,1.0594,-0.006900000000000128
train_cell13,train,709.0,-8.622440164490172,1.0677,1.0616,-0.006099999999999994
train_cell14,train,731.0,-8.396294867502121,1.0653,1.057,-0.008299999999999974
train_cell15,train,742.0,-8.861854187526047,1.0623,1.0568,-0.00550000000000006
train_cell16,train,704.0,-8.449279192433275,1.0671,1.0578,-0.009299999999999864
train_cell17,train,617.0,-7.904863709898485,1.0603,1.0481,-0.012199999999999989
train_cell18,train,966.0,-9.337368704572386,1.0713,1.0662,-0.005099999999999882
train_cell19,train,702.0,-8.440972527163657,1.0688,1.0606,-0.008199999999999985
train_cell20,train,616.0,-7.876424053381893,1.0736,1.0577,-0.015900000000000025
train_cell21,train,300.0,-6.322224647005541,1.0569,0.99626,-0.060639999999999916
train_cell22,train,438.0,-8.043462724306366,1.0614,1.0507,-0.010699999999999932
train_cell23,train,444.0,-7.718296677809333,1.0591,1.0391,-0.020000000000000018
train_cell24,train,511.0,-7.47048353125297,1.0573,1.0283,-0.028999999999999915
train_cell25,train,477.0,-7.973220048870185,1.0606,1.0452,-0.01540000000000008
train_cell26,train,483.0,-7.333338843411233,1.068,1.0461,-0.02190000000000003
train_cell27,train,494.0,-7.895501937487172,1.0574,1.0485,-0.008899999999999908
train_cell28,train,461.0,-7.635392705472724,1.0262,1.0079,-0.018299999999999983
train_cell29,train,489.0,-8.120144014528684,1.0661,1.0517,-0.014399999999999968
train_cell30,train,527.0,-8.119428638019937,1.0613,1.0445,-0.016799999999999926
train_cell31,train,461.0,-7.949532159743262,1.0532,1.04,-0.013199999999999878
train_cell32,train,468.0,-8.201332677762025,1.0541,1.0443,-0.009800000000000031
train_cell33,train,498.0,-8.540141076607211,1.0593,1.0548,-0.0044999999999999485
train_cell34,train,492.0,-8.35177465223614,1.0632,1.0544,-0.008799999999999919
train_cell35,train,520.0,-8.481912118862454,1.0695,1.0621,-0.007399999999999851
train_cell36,train,463.0,-8.03179990464864,1.054,1.0453,-0.008700000000000152
train_cell37,train,478.0,-8.112305072114209,1.0625,1.0537,-0.008799999999999919
train_cell38,train,459.0,-8.07192196845288,1.0686,1.0564,-0.012199999999999989
train_cell39,train,429.0,-7.918742741259556,1.058,1.0481,-0.00990000000000002
train_cell40,train,462.0,-7.817265434738739,1.0633,1.0495,-0.013799999999999812
train_cell41,train,487.0,-8.492868535663158,1.0578,1.0484,-0.009400000000000075
